word,sw,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,word_lower
abundant,abundant,ә'bʌndәnt,a. present in great quantity,"a. 丰富的, 充分的, 大量的",j:100,1,0,gk cet4 ky toefl gre,7823,6223,abundant
abuse,abuse,ә'bju:s.ә'bju:z,"n. a rude expression intended to offend or hurt
v. use foul or abusive language towards
v. use wrongly or improperly or excessively","n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待",v:24/n:76,4,1,gk cet4 cet6 ky toefl ielts gre,2352,1540,abuse
academic,academic,.ækә'demik,"a. associated with academia or an academy
s. hypothetical or theoretical and not expected to produce an immediate or practical result
s. marked by a narrow focus on or display of learning especially its trivial aspects","a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员",j:88/n:12,3,1,gk cet4 cet6 ky toefl ielts gre,1941,1465,academic
academy,academy,ә'kædәmi,"n. a secondary school (usually private)
n. an institution for the advancement of art or science or literature
n. a school for special training
n. a learned establishment for the advancement of knowledge","n. 学院, 院校, 学会",n:100,2,0,gk cet4 cet6 ky toefl,4366,4895,academy
accelerate,accelerate,әk'selәreit,"v. move faster
v. cause to move faster","v. 加速, 促进",v:100,2,0,gk cet4 cet6 ky toefl ielts gre,5328,4925,accelerate
acceleration,acceleration,әk.selә'reiʃәn,"n. an increase in rate of change
n. the act of accelerating; increasing the speed
n. (physics) a rate of increase of velocity","n. 加速, 促进, 加速度
[化] 加速度",n:100,1,0,cet4 toefl,7072,8018,acceleration
accent,accent,'æksәnt,"n. distinctive manner of oral expression
n. a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation","n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调",v:11/n:89,2,1,zk gk cet4 ky,3701,4140,accent
accept,accept,әk'sept,"v. consider or hold as true
v. receive willingly something given or offered
v. give an affirmative reply to; respond favorably to
v. react favorably to; consider right and proper","vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意",v:100,5,1,zk gk cet4 ky,488,766,accept
acceptable,acceptable,әk'septәbl,"a. worthy of acceptance or satisfactory
s. judged to be in conformity with approved usage
s. adequate for the purpose","a. 可接受的, 合意的, 可忍受的",j:100,3,1,cet4,2388,3415,acceptable
acceptance,acceptance,әk'septәns,"n. the state of being acceptable and accepted
n. (contract law) words signifying consent to the terms of an offer (thereby creating a contract)
n. banking: a time draft drawn on and accepted by a bank
n. the act of taking something that is offered","n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
[经] 承兑, 认付, (工程)验收",n:100,2,0,cet4 cet6 ky,2899,3443,acceptance
access,access,'ækses,"n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information","n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
[计] 访问, 存取",v:15/n:85,3,1,gk cet4 cet6 ky toefl ielts gre,999,1113,access
accessory,accessory,әk'sesәri,"n. clothing that is worn or carried, but not part of your main clothing
n. a supplementary component that improves capability
n. someone who helps another person commit a crime
s. furnishing added support","n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
[计] 附件",j:10/n:90,2,0,cet4 cet6 ky toefl ielts gre,7048,6429,accessory
accident,accident,'æksidәnt,"n. an unfortunate mishap; especially one causing damage or injury
n. anything that happens suddenly or by chance without an apparent cause","n. 意外事件, 机遇, 事故, 次要方面
[化] 意外事故; 事故",n:100,3,1,zk gk cet4 ky toefl,1187,1707,accident
accidental,accidental,.æksi'dentl,"n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature
s. happening by chance or unexpectedly or unintentionally","a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面",j:100,2,1,cet4 cet6 ky toefl,6917,7485,accidental
accommodate,accommodate,ә'kɒmәdeit,"v. provide with something desired or needed
v. have room for; hold without crowding
v. make (one thing) compatible with (another)","vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应",v:100,2,0,cet4 cet6 ky toefl ielts gre,3404,3717,accommodate
accommodation,accommodation,ә.kɒmә'deiʃәn,"n. a settlement of differences
n. in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality
n. living quarters provided for public convenience
n. the act of providing something (lodging or seat or food) to meet a need","n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
[医] 调节(眼); 适应",n:100,2,1,gk cet4 cet6 ky ielts,2048,5369,accommodation
accompany,accompany,ә'kʌmpәni,v. go or travel along with,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱",v:100,3,1,gk cet4 cet6 ky toefl ielts gre,1902,2438,accompany
accomplish,accomplish,ә'kʌmpliʃ,"v put in effect
v to gain with effort","vt. 完成, 达到, 实现, 使完美",v:100,2,0,gk cet4 ky toefl ielts gre,5546,2345,accomplish
accord,accord,ә'kɒ:d,"n. concurrence of opinion
n. sympathetic compatibility
v. allow to have","n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合",v:41/n:59,5,0,cet4 cet6 ky toefl ielts gre,5594,6075,accord
accordance,accordance,ә'kɒ:dәns,n. the act of granting rights,"n. 一致, 和谐",i:95/n:5,1,0,cet4 cet6 ky,32964,8086,accordance
accordingly,accordingly,ә'kɒ:diŋli,r. in accordance with,"adv. 相应地, 因此, 于是",r:100,2,0,cet4 cet6 ky,3199,5589,accordingly
account,account,ә'kaunt,"n. a formal contractual relationship established to provide for regular banking or brokerage or business services
n. importance or value
n. a statement of recent transactions and the resulting balance
n. the quality of taking advantage","n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
[计] 帐户, 帐号",v:35/n:65,5,1,gk cet4 ky toefl ielts,498,1071,account
accumulate,accumulate,ә'kju:mjuleit,v. collect or gather,"v. 积聚, 堆积",v:100,2,0,gk cet4 cet6 ky toefl ielts gre,4997,5083,accumulate
accuracy,accuracy,'ækjurәsi,"n. the quality of being near to the true value
n. (mathematics) the number of significant figures given in a number","n. 精确, 正确
[计] 准确度",n:100,0,0,gk cet4 cet6 ky toefl ielts gre,3958,4076,accuracy
accurate,accurate,'ækjurәt,"a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
s. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct","a. 正确的, 精确的
[经] 准确的, 精确的",j:100,3,1,cet4 cet6 ky toefl ielts gre,2738,2728,accurate
accuse,accuse,ә'kju:z,v. bring an accusation against; level a charge against,"vt. 指责, 控告, 归咎于
vi. 指责, 控告",v:100,4,1,gk cet4 cet6 ky toefl ielts gre,1893,2024,accuse
accustom,accustom,ә'kʌstәm,v make psychologically or physically used (to something),vt. 使习惯于,v:100,1,0,cet4 cet6 ky toefl,14055,7584,accustom
accustomed,accustomed,ә'kʌstәmd,"a. (often followed by `to') in the habit of or adapted to
s. commonly used or practiced; usual","a. 惯常的, 习惯了的",j:100,1,0,gk cet4 cet6 ky toefl,6431,8524,accustomed
ache,ache,eik,"n. a dull persistent (usually moderately intense) pain
v. have a desire for something or someone who is not present
v. be the source of pain","n. 疼痛
vi. 痛, 哀怜, 渴望",n:42/v:58,2,0,zk gk cet4 ky,8267,7717,ache
achieve,achieve,ә'tʃi:v,v. to gain with effort,"vt. 完成, 达到
vi. 如愿以偿",v:100,4,1,zk gk cet4 cet6 ky toefl ielts,592,1152,achieve
achievement,achievement,ә'tʃi:vmәnt,n the action of accomplishing something,"n. 完成, 成就, 功业",n:100,2,1,gk cet4 cet6 toefl ielts,1978,2021,achievement
acid,acid,'æsid,"n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
n. street name for lysergic acid diethylamide
s. having the characteristics of an acid","n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
[计] 自动文档互参与索引生成程序",j:1/n:99,3,1,gk cet4 cet6 ky toefl ielts,1597,3238,acid
acknowledge,acknowledge,әk'nɒlidʒ,"v. report the receipt of
v. express obligation, thanks, or gratitude for
v. accept as legally binding and valid
v. accept (someone) to be what is claimed or accept his power and authority","vt. 承认, 告知收悉, 答谢, 报偿
[经] 承认, 答谢, 收到的通知",v:100,3,1,gk cet4 cet6 ky toefl ielts gre,2105,1654,acknowledge
acquaintance,acquaintance,ә'kweintәns,"n. personal knowledge or information about someone or something
n. a relationship less intimate than friendship
n. a person with whom you are acquainted","n. 认识, 相识者",n:100,2,0,gk cet4 cet6 ky toefl gre,5967,6274,acquaintance
acquire,acquire,ә'kwaiә,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts","vt. 获得, 学到
[电] 目标锁定",v:100,3,1,gk cet4 cet6 ky toefl ielts,1407,2063,acquire
acquisition,acquisition,.ækwi'ziʃәn,"n. the act of contracting or assuming or acquiring possession of something
n. something acquired","n. 获得, 获得物
[经] 收购, 招揽, 取得",n:100,3,0,gk cet4 cet6 ky toefl ielts,2567,3856,acquisition
acre,acre,'eikә,"n. a unit of area (4840 square yards) used in English-speaking countries
n. a territory of western Brazil bordering on Bolivia and Peru
n. a town and port in northwestern Israel in the eastern Mediterranean",n. 英亩,,3,0,gk cet4 ky toefl,3286,0,acre
act,act,ækt,"n. a legal document codifying the result of deliberations of a committee or society or legislative body
n. something that people do or cause to happen
n. a subdivision of a play or opera or ballet
n. a short theatrical performance that is part of a longer program","n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术",n:43/v:57,5,1,zk gk cet4 ky,371,837,act
action,action,'ækʃәn,"n. something done (usually as opposed to something said)
n. the state of being active
n. the series of events that form a plot
n. the trait of being active and energetic and forceful","n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
[计] 方式",n:100,5,1,zk gk cet4 cet6 ky toefl ielts,340,502,action
active,active,'æktiv,"n. a person who is a participating member of an organization
a. tending to become more severe or wider in scope
s. engaged in or ready for military or naval operations
a. disposed to take action or effectuate change","a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子",j:99/n:1,4,1,zk gk cet4 ky toefl,1316,1444,active
activity,activity,æk'tiviti,"n. any specific behavior
n. (chemistry) the capacity of a substance to take part in a chemical reaction","n. 活动, 行动, 活跃, 活力
[计] 活动",n:100,4,1,zk gk cet4 ky ielts,412,537,activity
actor,actor,'æktә,"n. a theatrical performer
n. a person who acts and gets things done","n. 男演员, 行动者
[医] 作用物, 反应物",n:100,3,1,gk cet4 ky ielts,2390,1497,actor
actress,actress,'æktris,n. a female actor,n. 女演员,n:100,3,0,gk cet4 ky,4829,3236,actress
actual,actual,'æktʃuәl,"a. presently existing in fact and not merely potential or possible
s. taking place in reality; not pretended or imitated
s. being or reflecting the essential or genuine character of something
s. existing in act or fact","a. 真实的, 实际的, 现行的
[医] 实际死亡率",j:100,3,1,gk cet4 ky toefl,1396,1739,actual
actually,actually,'æktʃuәli,"r. in actual fact
r. used to imply that one would expect the fact to be the opposite of that stated; surprisingly
r. at the present moment
r. as a sentence modifier to add slight emphasis","adv. 事实上, 竟然, 如今, 现在",r:100,5,1,cet4 cet6 toefl,354,396,actually
acute,acute,ә'kju:t,"a. having or experiencing a rapid onset and short but severe course
s. extremely sharp or intense
s. having or demonstrating ability to recognize or draw fine distinctions
a. of an angle; less than 90 degrees","a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
[医] 急性的; 尖锐的",j:100,2,0,gk cet4 cet6 ky toefl ielts gre,3249,5255,acute
ad,ad,æd,"n. a public promotion of some product or service
r. in the Christian era; used before dates after the supposed year Christ was born","n. 广告
[计] 地址, 模拟-数字",n:100,1,1,cet4,4324,1748,ad
adapt,adapt,ә'dæpt,"v. make fit for, or change to suit a new purpose","vt. 使适应, 改编
vi. 适应",v:100,2,1,gk cet4 cet6 ky toefl ielts gre,2816,2933,adapt
add,add,æd,"v. make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of
v. state or say further
v. make an addition by combining numbers
v. constitute an addition","vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
[计] 加法",v:100,5,1,zk gk cet4 ky,330,340,add
addition,addition,ә'diʃәn,"n. a component that is added to something to improve it
n. the act of adding one thing to another
n. a quantity that is added
n. a suburban area laid out in streets and lots for a future residential area","n. 加法, 增加的人(或物)
[计] 加法",i:71/n:29,4,1,gk cet4 cet6 ky ielts gre,2841,2048,addition
additional,additional,ә'diʃәnәl,s further or added,"a. 附加的, 另外的, 额外的
[机] 加添的, 附加的",j:100,0,1,cet4 cet6 ky toefl ielts,1310,1319,additional
address,address,ә'dres,"n. (computer science) the code that identifies where a piece of information is stored
n. the place where a person or organization can be found or communicated with
n. the act of delivering a formal spoken communication to an audience
n. the manner of speaking to another individual","n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
[计] 地址, 寻址",n:33/v:67,4,1,zk gk cet4 cet6 ky toefl ielts gre,1522,1028,address
adequate,adequate,'ædikwәt,"a. having the requisite qualities or resources to meet a task
s. sufficient for the purpose
s. about average; acceptable","a. 适当的, 足够的
[法] 胜任的, 适当的, 充分的",j:100,3,1,gk cet4 cet6 ky toefl ielts gre,2398,3297,adequate
adhere,adhere,әd'hiә,"v. be compatible or in accordance with
v. follow through or carry out a plan without deviation
v. be a devoted follower or supporter
v. stick to firmly","vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附",v:100,2,0,cet4 cet6 ky toefl ielts gre,6380,6516,adhere
adjective,adjective,'ædʒiktiv,"n. a word that expresses an attribute of something
n. the word class that qualifies nouns
a. relating to court practice and procedure as opposed to the principles of law","n. 形容词
a. 形容词的, 从属的",n:100,1,0,cet4 ky,5838,10317,adjective
adjust,adjust,ә'dʒʌst,"v. alter or regulate so as to achieve accuracy or conform to a standard
v. adapt or conform oneself to new or different conditions
v. make correspondent or conformable
v. decide how much is to be paid on an insurance claim","vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应",v:100,3,1,gk cet4 cet6 ky toefl ielts gre,2811,2300,adjust
administration,administration,әd.mini'streiʃәn,"n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)
n. the persons (or committees or departments etc.) who make up a body for the purpose of administering something
n. the act of administering medication
n. the act of meting out justice according to the law","n. 行政, 管理, 政府机关
[化] 给药",n:100,4,0,gk cet4 cet6 ky toefl ielts,1383,635,administration
admire,admire,әd'maiә,"v. feel admiration for
v. look at with admiration","vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇",v:100,3,1,gk cet4 ky toefl gre,3283,3277,admire
admission,admission,әd'miʃәn,"n. the act of admitting someone to enter
n. an acknowledgment of the truth of something","n. 准许进入, 入场费, 录用, 承认
[经] 加入, 入股",n:100,2,0,gk cet4 cet6 ky toefl ielts gre,2768,3031,admission
admit,admit,әd'mit,"v. declare to be true or admit the existence or reality or truth of
v. allow to enter; grant entry to
v. allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of
v. afford possibility","vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认",v:100,4,1,gk cet4 ky toefl,887,1089,admit
adopt,adopt,ә'dɒpt,"v. choose and follow; as of theories, ideas, policies, strategies or plans
v. take up and practice as one's own
v. take into one's family","vt. 采用, 正式通过, 收养, 接受
[医] 采取",v:100,4,1,gk cet4 cet6 ky toefl ielts gre,1157,1632,adopt
adult,adult,'ædʌlt,"n. a fully developed person from maturity onward
n. any mature animal
s. (of animals) fully developed","n. 成人, 成虫
a. 成年的, 成熟的",j:6/n:94,4,1,gk cet4 ky ielts,1236,969,adult
advance,advance,әd'vɑ:ns,"n. an amount paid before it is earned
n. increase in price or value
v. move forward, also in the metaphorical sense
v. bring forward for consideration or acceptance","n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的",v:44/j:2/n:54,4,1,gk cet4 cet6 ky toefl,1880,2296,advance
advanced,advanced,әd'vɑ:nst,"s. farther along in physical or mental development
s. comparatively late in a course of development
s. ahead of the times
s. at a higher level in training or knowledge or skill","a. 在前的, 高级的, 先进的, 年老的
[法] 预付的, 预支的, 垫付的",j:100,3,1,cet4 ky toefl ielts,2557,2797,advanced
advantage,advantage,әd'vɑ:ntidʒ,"n. the quality of having a superior or more favorable position
n. (tennis) first point scored after deuce
n. benefit resulting from some event or action
v. give an advantage to","n. 优点, 便利, 好处, 优势
vt. 有助于",v:1/n:99,4,1,zk gk cet4 ky,969,1301,advantage
adventure,adventure,әd'ventʃә,n. a wild and exciting undertaking (not necessarily lawful),"n. 冒险, 冒险经历
v. 冒险",v:1/n:99,2,1,gk cet4 ky toefl,3561,2862,adventure
adverb,adverb,'ædvә:b,"n. the word class that qualifies verbs or clauses
n. a word that modifies something other than a noun",n. 副词,n:100,0,0,cet4 ky,17521,26238,adverb
advertise,advertise,'ædvәtaiz,"v. call attention to
v. make publicity for; try to sell (a product)","vt. 做广告, 通知, 公布
vi. 做广告",v:100,3,1,gk cet4 cet6 ky ielts gre,4085,5124,advertise
advertisement,advertisement,.ædvә'taizmәnt,n a public promotion of some product or service,"n. 广告, 启事, 广告宣传
[法] 广告, 公告, 告示",n:100,2,1,zk gk cet4 ielts,3277,5957,advertisement
advice,advice,әd'vais,n. a proposal for an appropriate course of action,"n. 忠告, 劝告, 意见, 报道, 通知
[经] 通知书, 通知, 建议",n:100,4,1,zk gk cet4 cet6 ky toefl ielts,962,1641,advice
advisable,advisable,әd'vaizәbl,a. worthy of being recommended or suggested; prudent or wise,"a. 适当的, 明智的",j:100,1,0,cet4 cet6 ky toefl gre,8630,18573,advisable
advise,advise,әd'vaiz,v. inform (somebody) of something,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量",v:100,3,1,zk gk cet4 cet6 ky toefl,1728,2552,advise
advocate,advocate,'ædvәkeit,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court","n. 提倡者, 拥护者
vt. 主张, 提倡",v:37/n:63,3,0,gk cet4 cet6 ky toefl ielts gre,4031,2623,advocate
aeroplane,aeroplane,'єәrәplein,n an aircraft that has a fixed wing and is powered by propellers or jets,"n. 飞机
[机] 飞机",n:100,2,0,gk cet4 cet6 ky,6392,30278,aeroplane
affair,affair,ә'fєә,"n. a usually secretive or illicit sexual relationship
n. a vaguely specified social event","n. 事件, 事务, 恋爱事件",n:100,4,1,gk cet4 cet6 ky toefl,941,1364,affair
affect,affect,ә'fekt,"n. the conscious subjective aspect of feeling or emotion
v. have an effect upon
v. act physically on; have an effect upon
v. have an emotional or cognitive impact upon","vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情",n:7/v:93,4,1,gk cet4 cet6 ky toefl ielts,754,963,affect
affection,affection,ә'fekʃәn,n. a positive feeling of liking,"n. 影响, 病, 喜爱, 情感, 倾向
[医] 疾患, 病变, 病; 感情",n:100,2,1,gk cet4 cet6 ky toefl ielts gre,4103,5137,affection
affluent,affluent,'æfluәnt,"n. an affluent person; a person who is financially well off
s. having an abundant supply of money or possessions of value","a. 丰富的, 富裕的
n. 支流, 富人",j:100,1,0,cet4 ky toefl gre,9888,7167,affluent
afford,afford,ә'fɒ:d,"v. be able to spare or give up
v. have the financial means to do something or buy something
v. afford access to","vt. 买得起, 足以, 给予",v:100,3,1,zk gk cet4 cet6 ky toefl ielts,1722,1846,afford
Africa,africa,'æfrikә,n. the second largest continent; located to the south of Europe and bordered to the west by the South Atlantic and to the east by the Indian Ocean,n. 非洲,,0,0,gk cet4 ielts,1250,0,africa
African,african,'æfrikәn,"n. a native or inhabitant of Africa
a. of or relating to the nations of Africa or their peoples","n. 非洲人
a. 非洲的, 非洲人的",j:90/n:10,0,0,gk cet4 ielts,2102,1203,african
afterward,afterward,'ɑ:ftәwәd,r happening at a time subsequent to a reference time,"adv. 然后, 后来",r:95/j:5,0,0,gk cet4 cet6 ky,33038,4195,afterward
against,against,ә'geinst,"prep. Abreast; opposite to; facing; towards; as, against the
   mouth of a river; -- in this sense often preceded by over.
prep. From an opposite direction so as to strike or come in
   contact with; in contact with; upon; as, hail beats against the roof.
prep. In opposition to, whether the opposition is of
   sentiment or of action; on the other side; counter to; in contrariety
   to; hence, adverse to; as, against reason; against law; to run a race
   against time.
prep. By of before the time that; in preparation for; so as
   to be ready for the time when.","prep. 反对, 对着, 倚靠",i:100,5,1,zk gk cet4 ky,155,180,against
agency,agency,'eidʒәnsi,"n. an administrative unit of government
n. a business that serves other businesses
n. the state of being in action or exerting power","n. 代理机构, 经销商, 中介
[化] 办事处",n:100,4,1,gk cet4 ky ielts,1036,694,agency
agent,agent,'eidʒәnt,"n. an active and efficient cause; capable of producing a certain effect
n. a representative who acts on behalf of other persons or organizations
n. a substance that exerts some force or effect
n. a businessman who buys or sells for another in exchange for a commission","n. 代理商, 政府代表, 动原, 媒介
[计] 代理程序",n:100,4,1,gk cet4 ky toefl,1214,1020,agent
aggressive,aggressive,ә'gresiv,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""
s. tending to spread quickly
s. characteristic of an enemy or one eager to fight","a. 侵略的, 挑畔的, 进取的
[法] 侵略的, 爱挑衅的, 行为过火的",j:100,3,1,gk cet4 cet6 ky toefl ielts gre,3648,2514,aggressive
agony,agony,'ægәni,"n. intense feelings of suffering; acute mental or physical pain
n. a state of acute pain","n. 极大的痛苦, 挣扎
[医] 濒死苦闷; 剧痛",n:100,2,0,cet4 cet6 ky ielts gre,5575,7577,agony
agriculture,agriculture,'ægrikʌltʃә,n. the class of people engaged in growing food,"n. 农业
[机] 农业, 农学",n:100,3,0,gk cet4 cet6 ky toefl ielts,2274,4165,agriculture
aid,aid,eid,"n. a resource
n. the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
n. money to support a worthy person or cause","n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
[计] 自动内部诊断",v:21/n:79,5,1,gk cet4 cet6 ky,1096,1640,aid
aim,aim,eim,"n. the goal intended to be attained (and which is believed to be attainable)
n. the action of directing something at an object
v. point or cause to go (blows, weapons, or objects such as photographic equipment) towards
v. propose or intend","n. 目标, 瞄准, 击中目标的能力
vi. 对准目标, 致力, 打算
vt. 瞄准
[计] 医学文摘索引, 存取隔离机构, 高级信息管理程序, 先进接口模块
应用接口模块, 医学人工智能, 相联索引法, 异步接口模块
自动化信息管理, 自动化综合制造, 自动化库存管理",n:31/v:69,4,1,gk cet4 cet6 ky toefl ielts,1261,1931,aim
aircraft,aircraft,'єәkræft,n. a vehicle that can fly,"n. 航空器, 飞机
[机] 航空器",n:100,4,1,gk cet4 ky toefl,1538,2803,aircraft
airline,airline,'єәlain,"n. a hose that carries air under pressure
n. a commercial enterprise that provides scheduled flights for passengers","n. 航线, 航线的设备, 航空公司",n:100,4,0,zk gk cet4 ky,3554,2128,airline
airplane,airplane,'єәplein,n. an aircraft that has a fixed wing and is powered by propellers or jets,"n. 飞机
[机] 飞机",n:100,2,0,zk gk cet4,21702,3519,airplane
alarm,alarm,ә'lɑ:m,"n. fear resulting from the awareness of danger
n. a device that signals the occurrence of some undesirable event
n. an automatic signal (usually a sound) warning of danger
v. warn or arouse to a sense of danger or call to a state of preparedness","n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
[计] 报警信号",v:22/n:78,3,1,gk cet4 ky toefl ielts,3004,3693,alarm
alcohol,alcohol,'ælkәhɒl,"n. a liquor or brew containing alcohol as the active agent
n. any of a series of volatile hydroxyl compounds that are made from hydrocarbons by distillation","n. 酒精, 酒
[化] 醇; 乙醇; 酒精",n:100,3,1,gk cet4 ky,2654,2191,alcohol
alert,alert,ә'lә:t,"n. condition of heightened watchfulness or preparation for action
n. a warning serves to make you more alert to danger
a. engaged in or accustomed to close observation
s. quick and energetic","a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到",n:17/j:40/v:43,3,0,cet4 cet6 ky toefl gre,4966,5318,alert
algebra,algebra,'ældʒibrә,n. the mathematics of generalized arithmetical operations,n. 代数学,n:100,0,0,gk cet4 cet6 toefl,16477,12790,algebra
