word,sw,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,word_lower
their,their,ðєә,"pron. & a. The possessive case of the personal pronoun they;
   as, their houses; their country.",pron. 他们的,a:100,5,1,zk gk,36,36,their
there,there,ðєә,"n. a location other than here; that place
r. in or at that place
r. in that matter
r. to or toward that place; away from the speaker",adv. 在那里,p:70/r:29/n:1,5,1,zk gk,37,53,there
what,what,hwɒt,"pron., a., & adv. As an interrogative pronoun, used in asking
   questions regarding either persons or things; as, what is this? what
   did you say? what poem is this? what child is lost?
pron., a., & adv. As an exclamatory word: -- (a) Used absolutely
   or independently; -- often with a question following.
pron., a., & adv. Used adjectively, meaning how remarkable, or
   how great; as, what folly! what eloquence! what courage!
pron., a., & adv. Sometimes prefixed to adjectives in an
   adverbial sense, as nearly equivalent to how; as, what happy boys!
pron., a., & adv. As a relative pronoun
pron., a., & adv. Used substantively with the antecedent
   suppressed, equivalent to that which, or those [persons] who, or those
   [things] which; -- called a compound relative.
pron., a., & adv. Used adjectively, equivalent to the . . .
   which; the sort or kind of . . . which; rarely, the . . . on, or at,
   which.
pron., a., & adv. Used adverbially in a sense corresponding to
   the adjectival use; as, he picked what good fruit he saw.
pron., a., & adv. Whatever; whatsoever; what thing soever; --
   used indefinitely.
pron., a., & adv. Used adverbially, in part; partly; somewhat;
   -- with a following preposition, especially, with, and commonly with
   repetition.
n. Something; thing; stuff.
interrog. adv. Why? For what purpose? On what account?","pron. 什么
interj. 怎么, 多么
a. 什么的
adv. 到什么程度",d:100,5,1,zk gk,38,34,what
all,all,ɒ:l,"a. quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class
s. completely given to or absorbed by","a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部",r:17/d:83,5,1,zk gk ielts,39,43,all
if,if,if,"conj. In case that; granting, allowing, or supposing that; --
   introducing a condition or supposition.
conj. Whether; -- in dependent questions.","conj. 如果, 是否, 无论何时, 假设, 即使
n. 条件
[计] DOS批处理命令:根据所测试的条件决定是否执行另一条命令",c:100,5,1,zk gk,40,40,if
get,get,get,"n. a return on a shot that seemed impossible to reach and would normally have resulted in a point for the opponent
v. come into the possession of something concrete or abstract
v. cause to move; cause to be in a certain position or condition
v. succeed in catching or seizing, especially after a chase","vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
[计] 取得指令, 获取文件",v:100,5,1,zk gk ielts,41,39,get
her,her,hә:,"pron. & a. The form of the objective and the possessive case of
   the personal pronoun she; as, I saw her with her purse out.
pron. pl. Alt. of Here","pron. 她的, 她",a:70/p:30,5,1,zk gk,42,42,her
make,make,meik,"v. engage in
v. give certain properties to something
v. make or cause to be or to become
v. compel or make somebody or something to act in a certain way","vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情",n:1/v:99,3,1,zk gk ielts,43,45,make
go,go,gou,"n. a time for working (after which you will be relieved by someone else)
n. a board game for two players who place counters on a grid; the object is to surround and so capture the opponent's counters
v. follow a procedure or take a course
v. move away from a place into another direction","vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行",v:100,5,1,zk gk ielts,44,35,go
who,who,hu:,n a United Nations agency to coordinate international health activities and to help governments improve health services,pron. 谁,p:100,5,1,zk gk,45,38,who
one,one,wʌn,"n. the smallest whole number or a numeral representing this number
n. a single person or thing
s. used of a single unit or thing; not two or more
s. having the indivisible character of a unit","n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的",p:31/m:64/n:5,5,1,zk gk ielts,46,51,one
see,see,si:,"n. the seat within a bishop's diocese where his cathedral is located
v. perceive by sight or have the power to perceive by sight
v. deem to be
v. be careful or certain to do something; make certain of something","vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位",v:100,5,1,zk gk,47,67,see
so,so,sәu,"r. to a very great extent or degree
r. in a manner that facilitates
r. in such a condition or manner, especially as expressed or implied
r. to a certain unspecified extent or degree","adv. 如此, 如是, 如...那样
conj. 所以, 因此
pron. 这样",c:20/r:79/j:1,3,1,zk gk,48,55,so
know,know,nәu,"n. the fact of being aware of information that is known to few people
v. be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about
v. know how to do or perform something
v. be aware of the truth of something; have a belief or faith in something; regard as true beyond any doubt","v. 知道, 了解, 认识, 确信",n:1/v:99,3,1,zk gk,49,47,know
time,time,taim,"n. an instance or single occasion for some event
n. a period of time considered as a resource under your control and sufficient to accomplish something
n. an indefinite period (usually marked by specific attributes or activities)
n. a suitable moment","n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
[计] DOS内部命令:用于显示或设定系统的时间",v:1/n:99,5,1,zk gk ielts,50,52,time
some,some,sʌm,"a. quantifier; used with either mass nouns or plural count nouns to indicate an unspecified number or quantity
s. relatively much but unspecified in amount or extent
s. relatively many but unspecified in number
s. remarkable","pron. 一些, 一部分, 若干
adv. 大约
a. 一些的, 少许的, 某一的",p:1/d:99,5,1,zk gk,53,60,some
when,when,hwen,"adv. At what time; -- used interrogatively.
adv. At what time; at, during, or after the time that; at or
   just after, the moment that; -- used relatively.
adv. While; whereas; although; -- used in the manner of a
   conjunction to introduce a dependent adverbial sentence or clause,
   having a causal, conditional, or adversative relation to the principal
   proposition; as, he chose to turn highwayman when he might have
   continued an honest man; he removed the tree when it was the best in
   the grounds.
adv. Which time; then; -- used elliptically as a noun.","conj. 当...的时候
adv. 何时, 什么时候
pron. 什么时侯
n. 时间",c:71/r:29,5,1,zk gk,54,57,when
could,could,kud,"imp. of Can
imp. Was, should be, or would be, able, capable, or
   susceptible. Used as an auxiliary, in the past tense or in the
   conditional present.","aux. 可以, 能",v:100,5,1,zk,55,71,could
year,year,jiә,"n. a period of time containing 365 (or 366) days
n. a period of time occupying a regular part of a calendar year that is used for some particular activity
n. the period of time that it takes for a planet (as, e.g., Earth or Mars) to make a complete revolution around the sun","n. 年, 年度, 年龄
[经] 年度",n:100,5,1,zk gk,56,54,year
into,into,'intu:,"prep. To the inside of; within. It is used in a variety of
   applications.
prep. Expressing entrance, or a passing from the outside of a
   thing to its interior parts; -- following verbs expressing motion; as,
   come into the house; go into the church; one stream falls or runs into
   another; water enters into the fine vessels of plants.
prep. Expressing penetration beyond the outside or surface, or
   access to the inside, or contents; as, to look into a letter or book;
   to look into an apartment.
prep. Indicating insertion; as, to infuse more spirit or
   animation into a composition.
prep. Denoting inclusion; as, put these ideas into other words.
prep. Indicating the passing of a thing from one form,
   condition, or state to another; as, compound substances may be resolved
   into others which are more simple; ice is convertible into water, and
   water into vapor; men are more easily drawn than forced into
   compliance; we may reduce many distinct substances into one mass; men
   are led by evidence into belief of truth, and are often enticed into
   the commission of crimes'into; she burst into tears; children are
   sometimes frightened into fits; all persons are liable to be seduced
   into error and folly.","prep. 进入...之内, 朝..., 深入...之中, 成为...状况",i:100,5,1,zk gk,57,65,into
its,its,its,n the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information,pron. 它的,a:100,5,1,zk gk,58,78,its
then,then,ðen,"n. that time; that moment
s. at a specific prior time
r. subsequently or soon afterward (often used as sentence connectors)
r. in that case or as a consequence","adv. 然后, 当时
conj. 然后, 当时
n. 那时",r:99/j:1,5,1,zk gk,59,77,then
two,two,tu:,"n. the cardinal number that is the sum of one and one or a numeral representing this number
s. being one more than one","num. 二, 二个",m:100,5,0,zk gk,60,80,two
my,my,mai,"a. Of or belonging to me; -- used always attributively; as, my
   body; my book; -- mine is used in the predicate; as, the book is mine.
   See Mine.","pron. 我的
[医] 迈尔(热容单位)",a:100,5,1,zk gk,61,44,my
out,out,aut,"n. (baseball) a failure by a batter or runner to reach a base safely in baseball
v. reveal (something) about somebody's identity or lifestyle
v. be made known; be disclosed or revealed
a. not allowed to continue to bat or run","a. 外面的, 熄灭的, 结束的
adv. 在外, 熄灭, 出现
prep. 出自, 离去, 向",i:26/r:73/v:1,5,1,zk gk,62,64,out
about,about,ә'baut,"s. on the move
r. all around or on all sides
r. in the area or vicinity
r. used of movement to or among many different places or in no particular direction","prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围",i:80/r:20,5,1,zk gk,63,46,about
think,think,θiŋk,"n. an instance of deliberate thinking
v. judge or regard; look upon; judge
v. expect, believe, or suppose
v. use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments","vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的",n:1/v:99,5,1,zk gk,64,56,think
come,come,kʌm,"v. move toward, travel toward something or somebody or approach something or somebody
v. come to pass; arrive, as in due course
v. reach or enter a state, relation, condition, use, or position
v. to be the product or result","vi. 过来, 来, 到达, 出现, 开始
interj. 喂",v:100,5,1,zk gk ielts,65,70,come
your,your,juә,"pron. & a. The form of the possessive case of the personal
   pronoun you.","pron. 你的, 你们的",a:99/p:1,5,1,zk gk,66,69,your
now,now,nau,"n. the momentary present
r. in the historical present; at this point in the narration of a series of past events
r. used to preface a command or reproof or request
r. at the present moment","adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于",c:4/r:96,5,1,zk gk,67,72,now
no,no,nәu,"n. a negative
a. quantifier; used with either mass nouns or plural count nouns for indicating a complete or almost complete lack or zero quantity of
r. referring to the degree to which a certain quality is present
r. not in any degree or manner; not at all","n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不",a:74/p:6/r:10/u:8/d:2,5,1,zk gk,68,93,no
other,other,'ʌðә,"a. not the same one or ones already mentioned or implied
s. recently past
s. very unusual; different in character or quality from the normal or expected","a. 其他的, 另外的, 从前的
pron. 其他的, 他人, 另外一个",i:4/p:8/j:88,5,1,zk gk,69,75,other
only,only,'әunli,"r. with nevertheless the final result
r. in the final outcome
r. except that; only this time she came out better""
r. never except when","a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过",r:76/j:24,5,1,zk gk,70,101,only
give,give,giv,"n. the elasticity of something that can be stretched and returns to its original length
v. cause to have, in the abstract sense or physical sense
v. transfer possession of something concrete or abstract to somebody
v. convey or reveal information","n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步",v:100,5,1,zk gk ielts,71,98,give
good,good,gud,"n. benefit
n. moral excellence or admirableness
n. that which is pleasing or valuable or useful
a. having desirable or positive qualities especially those suitable for a thing specified","n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的",r:2/j:94/n:4,5,1,zk gk ielts,73,110,good
more,more,mɒ:,"n. English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state
a. (comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree
a. (comparative of `many' used with count nouns) quantifier meaning greater in number
r. used to form the comparative of some adjectives and adverbs","n. 更多
a. 多的, 程度较大的, 更大的
adv. 多, 更多, 进一步
[计] DOS外部命令:显示满屏后自动暂停, 并显示:""--More--"", 按任意键继续",r:55/d:44/n:1,5,1,zk,74,81,more
people,people,'pi:pl,"n. (plural) any group of human beings (men or women or children) collectively
n. members of a family line
v. fill with people
v. furnish with people","n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于",v:1/n:99,5,1,zk gk,75,62,people
these,these,ði:z,"pron. The plural of this. See This.
pl.  of This",pron. 这些,d:100,5,0,zk gk,76,82,these
also,also,'ɒ:lsәu,r in addition,"adv. 也, 并且, 同样地",r:100,5,1,zk gk,77,87,also
any,any,'eni,"s. one or some or every or all without specification
r. to any degree or extent","a. 任何的
pron. 任何",r:2/d:98,5,1,zk gk,78,109,any
first,first,fә:st,"n. the first or highest in an ordering or series
n. the first element in a countable series
n. an honours degree of the highest class
a. preceding all others in time or space or degree","adv. 首先, 第一, 优先
a. 第一的
num. 第一
n. 开始, 第一",r:3/m:96/n:1,5,1,zk gk,79,86,first
very,very,'veri,"s. precisely as stated
r. used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal
r. precisely so","a. 真正的, 恰好的, 十足的, 特有的
adv. 非常, 完全",r:92/j:8,5,1,zk gk,80,105,very
new,new,nju:,"a. not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
s. having no previous example or precedent or parallel
s. other than the former one(s); different
a. unaffected by use or exposure","a. 新的, 陌生的, 最近的, 不熟悉的
[法] 新发现的, 新的, 重新开始的",r:1/j:99,5,1,zk gk,81,88,new
