level_code,word,ipa,phonetic_us,en_definition,zh_definition,example_en,example_zh,topic,audio_url_uk,audio_url_us,image_url,emoji,difficulty,frequency
CAE,eloquent,/ˈel.ə.kwənt/,/ˈel.ə.kwənt/,"able to express ideas clearly and beautifully",雄辩的；有口才的,She gave an eloquent speech.,她做了一场雄辩的演讲。,communication,,,,🎤,4,2
CAE,formidable,/ˈfɔː.mɪ.də.bəl/,/ˈfɔːr.mə.də.bəl/,"causing fear or respect by being impressive",令人敬畏的；强大的,He is a formidable opponent.,他是个强大的对手。,character,,,,🦁,4,2
CAE,gregarious,/ɡrɪˈɡeə.ri.əs/,/ɡrɪˈɡer.i.əs/,"enjoying the company of others",爱交际的；合群的,She is a gregarious person.,她是个爱交际的人。,character,,,,👥,4,2
CAE,hypothetical,/ˌhaɪ.pəˈθet.ɪ.kəl/,/ˌhaɪ.pəˈθet̬.ɪ.kəl/,"based on assumption rather than fact",假设的；假定的,Let's consider a hypothetical case.,让我们考虑一个假设的情况。,science,,,,🔬,4,2
CAE,inherent,/ɪnˈher.ənt/,/ɪnˈher.ənt/,"existing as a natural part of something",固有的；内在的,There are inherent risks in any investment.,任何投资都有固有风险。,general,,,,🧬,4,2
CAE,meticulous,/məˈtɪk.jə.ləs/,/məˈtɪk.jə.ləs/,"very careful and precise",一丝不苟的；细致的,She is meticulous about details.,她对细节一丝不苟。,character,,,,🔍,4,2
CAE,nuance,/ˈnjuː.ɑːns/,/ˈnuː.ɑːns/,"a very slight difference in meaning or feeling",细微差别；微妙之处,He understood the nuances of the language.,他理解这门语言的微妙之处。,language,,,,🎭,4,2
CAE,paradigm,/ˈpær.ə.daɪm/,/ˈper.ə.daɪm/,"a typical example or pattern of something",范式；典范,The theory represents a new paradigm.,这个理论代表了一种新的范式。,science,,,,📐,4,2
CAE,poignant,/ˈpɔɪ.njənt/,/ˈpɔɪ.njənt/,"causing a feeling of sadness",令人痛心的；辛酸的,It was a poignant moment.,那是个令人心酸的时刻。,emotion,,,,💔,4,2
CAE,quintessential,/ˌkwɪn.tɪˈsen.ʃəl/,/ˌkwɪn.təˈsen.ʃəl/,"being the most typical example of something",典型的；精髓的,This is the quintessential British pub.,这是典型的英式酒吧。,culture,,,,🇬🇧,4,2
CAE,resilient,/rɪˈzɪl.i.ənt/,/rɪˈzɪl.i.ənt/,"able to recover quickly from difficulties",有韧性的；有弹性的,Children are remarkably resilient.,孩子们的适应力很强。,character,,,,💪,4,2
CAE,scrutinize,/ˈskruː.tɪ.naɪz/,/ˈskruː.t̬ən.aɪz/,"to examine something very carefully",仔细检查；详审,Investors scrutinize every report.,投资者仔细审查每一份报告。,action,,,,🔬,4,2
CAE,ubiquitous,/juːˈbɪk.wɪ.təs/,/juːˈbɪk.wə.t̬əs/,"present or found everywhere",无处不在的,Smartphones are ubiquitous today.,如今智能手机无处不在。,technology,,,,📱,4,2
CAE,vindicate,/ˈvɪn.dɪ.keɪt/,/ˈvɪn.də.keɪt/,"to prove that someone is right or innocent",证明...无罪；为...平反,The evidence vindicated him.,证据证明了他无罪。,law,,,,⚖️,4,2
CAE,zealous,/ˈzel.əs/,/ˈzel.əs/,"showing great enthusiasm",热心的；热情的,He is a zealous supporter.,他是一位热情的支持者。,character,,,,🔥,4,2
PRIMARY,bag,/bæɡ/,/bæɡ/,"a container made of paper, cloth, or plastic",包；袋子,I have a new school bag.,我有一个新书包。,object,,,,🎒,1,5
PRIMARY,chair,/tʃeər/,/tʃer/,"a seat for one person with a back",椅子,Please sit on the chair.,请坐在椅子上。,furniture,,,,🪑,1,5
PRIMARY,desk,/desk/,/desk/,"a table for writing or working at",书桌,My desk is in my bedroom.,我的书桌在我卧室里。,furniture,,,,🗄️,1,5
PRIMARY,egg,/eɡ/,/eɡ/,"an oval object with a hard shell laid by birds",鸡蛋,I eat two eggs for breakfast.,我早餐吃两个鸡蛋。,food,,,,🥚,1,5
PRIMARY,father,/ˈfɑː.ðər/,/ˈfɑː.ðɚ/,"a male parent",父亲,My father works in a bank.,我父亲在银行工作。,family,,,,👨,1,5
PRIMARY,girl,/ɡɜːl/,/ɡɝːl/,"a female child",女孩,The girl is wearing a pink dress.,那个女孩穿着粉色连衣裙。,person,,,,👧,1,5
PRIMARY,hand,/hænd/,/hænd/,"the part of the body at the end of the arm",手,Wash your hands before eating.,吃饭前洗手。,body,,,,✋,1,5
PRIMARY,ice,/aɪs/,/aɪs/,"frozen water",冰,I like ice in my drink.,我喜欢在饮料里加冰。,nature,,,,🧊,1,5
PRIMARY,juice,/dʒuːs/,/dʒuːs/,"liquid from fruit or vegetables",果汁,Orange juice is my favorite.,橙汁是我的最爱。,food,,,,🧃,1,5
PRIMARY,kite,/kaɪt/,/kaɪt/,"a toy flown in the wind on a string",风筝,We fly kites in spring.,我们春天放风筝。,toy,,,,🪁,1,5
PRIMARY,lion,/ˈlaɪ.ən/,/ˈlaɪ.ən/,"a large wild cat found in Africa",狮子,The lion is the king of animals.,狮子是百兽之王。,animal,,,,🦁,1,5
PRIMARY,moon,/muːn/,/muːn/,"the round object in the sky at night",月亮,The moon is bright tonight.,今晚月亮很明亮。,nature,,,,🌙,1,5
PRIMARY,nose,/nəʊz/,/noʊz/,"the part of the face above the mouth used to breathe and smell",鼻子,My nose is itchy.,我的鼻子痒。,body,,,,👃,1,5
PRIMARY,orange,/ˈɒr.ɪndʒ/,/ˈɔːr.ɪndʒ/,"a round juicy fruit with thick orange skin",橙子；橙色,Oranges are rich in vitamin C.,橙子富含维生素C。,food,,,,🍊,1,5
PRIMARY,pen,/pen/,/pen/,"a long thin object used for writing with ink",钢笔,I need a pen to sign my name.,我需要一支笔签名。,object,,,,🖊️,1,5
PRIMARY,queen,/kwiːn/,/kwiːn/,"the female ruler of a country",女王，王后,The queen lives in a palace.,女王住在宫殿里。,person,,,,👸,1,5
PRIMARY,sun,/sʌn/,/sʌn/,"the star that the Earth moves around",太阳,The sun is shining today.,今天阳光灿烂。,nature,,,,☀️,1,5
PRIMARY,tiger,/ˈtaɪ.ɡər/,/ˈtaɪ.ɡɚ/,"a large wild cat with orange and black stripes",老虎,Tigers are endangered animals.,老虎是濒危动物。,animal,,,,🐯,1,5
PRIMARY,umbrella,/ʌmˈbrel.ə/,/ʌmˈbrel.ə/,"an object used to protect from rain",雨伞,Take an umbrella; it's raining.,带把伞，下雨了。,object,,,,☂️,1,5
PRIMARY,zoo,/zuː/,/zuː/,"a place where animals are kept for people to see",动物园,We visited the zoo last weekend.,我们上周末去了动物园。,place,,,,🦒,1,5
JUNIOR,ability,/əˈbɪl.ə.ti/,/əˈbɪl.ə.t̬i/,"the skill or power to do something",能力；才能,He has the ability to learn quickly.,他有快速学习的能力。,character,,,,💡,2,4
JUNIOR,attention,/əˈten.ʃən/,/əˈten.ʃən/,"the act of listening carefully",注意；专心,Please pay attention in class.,上课请专心。,mental,,,,👀,2,4
JUNIOR,believe,/bɪˈliːv/,/bɪˈliːv/,"to think that something is true",相信,I believe you.,我相信你。,mental,,,,✨,2,4
JUNIOR,choice,/tʃɔɪs/,/tʃɔɪs/,"the act of choosing between two or more things",选择,You have to make a choice.,你必须做出选择。,action,,,,🔀,2,4
JUNIOR,develop,/dɪˈvel.əp/,/dɪˈvel.əp/,"to grow or cause to grow",发展；培养,Children develop quickly.,孩子们成长很快。,action,,,,🌱,2,4
JUNIOR,energy,/ˈen.ə.dʒi/,/ˈen.ɚ.dʒi/,"the power to be active",能量；活力,Young people are full of energy.,年轻人充满活力。,science,,,,⚡,2,4
JUNIOR,follow,/ˈfɒl.əʊ/,/ˈfɑː.loʊ/,"to go after someone or something",跟随；遵循,Follow me, please.,请跟我来。,action,,,,👣,2,4
JUNIOR,government,/ˈɡʌv.ən.mənt/,/ˈɡʌv.ɚn.mənt/,"the group of people who govern a country",政府,The government announced new policies.,政府宣布了新政策。,society,,,,🏛️,2,4
JUNIOR,history,/ˈhɪs.tər.i/,/ˈhɪs.tɚ.i/,"the study of past events",历史,I love studying history.,我喜欢学历史。,education,,,,📜,2,4
JUNIOR,important,/ɪmˈpɔː.tənt/,/ɪmˈpɔːr.tənt/,"having great value or significance",重要的,Exercise is important for health.,锻炼对健康很重要。,general,,,,❗,2,4
JUNIOR,join,/dʒɔɪn/,/dʒɔɪn/,"to become a member of something",加入；参加,Would you like to join us?,你想加入我们吗？,action,,,,🤝,2,4
JUNIOR,kind,/kaɪnd/,/kaɪnd/,"generous and caring about others",善良的；和蔼的,She is a kind person.,她是个善良的人。,character,,,,❤️,2,4
JUNIOR,local,/ˈləʊ.kəl/,/ˈloʊ.kəl/,"relating to a particular area",当地的；本地的,We ate at a local restaurant.,我们在一家当地餐厅吃饭。,general,,,,📍,2,4
JUNIOR,manage,/ˈmæn.ɪdʒ/,/ˈmæn.ɪdʒ/,"to succeed in doing something difficult",管理；设法做到,She manages a team of ten.,她管理着十人团队。,work,,,,📊,2,4
JUNIOR,nature,/ˈneɪ.tʃər/,/ˈneɪ.tʃɚ/,"all the plants, animals, and things not made by people",自然；大自然,We should protect nature.,我们应该保护大自然。,nature,,,,🌿,2,4
JUNIOR,offer,/ˈɒf.ər/,/ˈɑː.fɚ/,"to say that you are willing to do something",提供；提议,Can I offer you some help?,我能帮你点什么吗？,action,,,,🎁,2,4
JUNIOR,popular,/ˈpɒp.jə.lər/,/ˈpɑː.pjə.lɚ/,"liked by many people",受欢迎的；流行的,This song is very popular.,这首歌很流行。,general,,,,🌟,2,4
JUNIOR,question,/ˈkwes.tʃən/,/ˈkwes.tʃən/,"something you ask to get information",问题；疑问,Can I ask a question?,我能问个问题吗？,communication,,,,❓,2,4
JUNIOR,remember,/rɪˈmem.bər/,/rɪˈmem.bɚ/,"to keep information in your mind",记得；记住,I remember my first day at school.,我记得上学的第一天。,mental,,,,🧠,2,4
JUNIOR,success,/səkˈses/,/səkˈses/,"the achievement of something you wanted",成功,Hard work leads to success.,努力工作带来成功。,general,,,,🏆,2,4
SENIOR,abandon,/əˈbæn.dən/,/əˈbæn.dən/,"to leave something or someone completely",放弃；抛弃,They abandoned the old house.,他们弃了那栋老房子。,action,,,,🏚️,3,3
SENIOR,accomplish,/əˈkʌm.plɪʃ/,/əˈkɑːm.plɪʃ/,"to finish something successfully",完成；实现,She accomplished her goals.,她实现了目标。,action,,,,✅,3,3
SENIOR,attitude,/ˈæt.ɪ.tjuːd/,/ˈæt̬.ə.tuːd/,"a feeling or opinion about something",态度；看法,A positive attitude is important.,积极的态度很重要。,character,,,,😊,3,3
SENIOR,beneficial,/ˌben.ɪˈfɪʃ.əl/,/ˌben.əˈfɪʃ.əl/,"helpful or good",有益的；有利的,Exercise is beneficial to health.,锻炼对健康有益。,general,,,,💚,3,3
SENIOR,challenge,/ˈtʃæl.ɪndʒ/,/ˈtʃæl.əndʒ/,"a difficult task that tests ability",挑战,Learning a new language is a challenge.,学习新语言是一种挑战。,general,,,,⛰️,3,3
SENIOR,consider,/kənˈsɪd.ər/,/kənˈsɪd.ɚ/,"to think carefully about something",考虑；认为,Please consider my proposal.,请考虑我的提议。,mental,,,,🤔,3,3
SENIOR,demonstrate,/ˈdem.ən.streɪt/,/ˈdem.ən.streɪt/,"to show or prove something clearly",证明；展示,The experiment demonstrates the theory.,实验证明了这一理论。,action,,,,📊,3,3
SENIOR,effective,/ɪˈfek.tɪv/,/ɪˈfek.tɪv/,"successful in producing a desired result",有效的；起作用的,This is an effective method.,这是一个有效的方法。,general,,,,🎯,3,3
SENIOR,essential,/ɪˈsen.ʃəl/,/ɪˈsen.ʃəl/,"extremely important; necessary",必要的；本质的,Water is essential for life.,水是生命所必需的。,general,,,,💧,3,3
SENIOR,expand,/ɪkˈspænd/,/ɪkˈspænd/,"to become or make larger",扩大；扩展,The company plans to expand.,公司计划扩张。,action,,,,📈,3,3
SENIOR,focus,/ˈfəʊ.kəs/,/ˈfoʊ.kəs/,"to give attention to one thing",集中；聚焦,Let's focus on the main issue.,让我们集中讨论主要问题。,mental,,,,🎯,3,3
SENIOR,guarantee,/ˌɡær.ənˈtiː/,/ˌɡer.ənˈtiː/,"a promise that something will happen",保证；担保,We guarantee quality.,我们保证质量。,communication,,,,🔒,3,3
SENIOR,hazard,/ˈhæz.əd/,/ˈhæz.ɚd/,"something dangerous",危险；风险,Smoking is a health hazard.,吸烟有害健康。,general,,,,⚠️,3,3
SENIOR,identify,/aɪˈden.tɪ.faɪ/,/aɪˈden.t̬ə.faɪ/,"to recognize who or what something is",识别；确认,Can you identify the suspect?,你能认出嫌疑人吗？,action,,,,🆔,3,3
SENIOR,investigate,/ɪnˈves.tɪ.ɡeɪt/,/ɪnˈves.tə.ɡeɪt/,"to examine something carefully",调查；研究,Police are investigating the case.,警方正在调查此案。,action,,,,🔎,3,3
SENIOR,maintain,/meɪnˈteɪn/,/meɪnˈteɪn/,"to keep something in good condition",保持；维护,We must maintain our equipment.,我们必须维护设备。,action,,,,🔧,3,3
SENIOR,objective,/əbˈdʒek.tɪv/,/əbˈdʒek.tɪv/,"a goal or aim",目标；客观的,Our objective is clear.,我们的目标很明确。,general,,,,🎯,3,3
SENIOR,perceive,/pəˈsiːv/,/pɚˈsiːv/,"to notice or understand",感知；察觉,He perceives a change in attitude.,他察觉到态度的变化。,mental,,,,👁️,3,3
SENIOR,reveal,/rɪˈviːl/,/rɪˈviːl/,"to make something known",揭示；透露,The report reveals new facts.,报告揭示了新事实。,action,,,,🔓,3,3
SENIOR,significant,/sɪɡˈnɪf.ɪ.kənt/,/sɪɡˈnɪf.ɪ.kənt/,"important or noticeable",重要的；显著的,There is a significant difference.,有显著的差异。,general,,,,⭐,3,3
CET4,abolish,/əˈbɒl.ɪʃ/,/əˈbɑː.lɪʃ/,"to officially end a law or system",废除；废止,The law was abolished in 1865.,这项法律于1865年被废除。,law,,,,🚫,3,3
CET4,accommodate,/əˈkɒm.ə.deɪt/,/əˈkɑː.mə.deɪt/,"to provide space for someone",容纳；适应,The hotel can accommodate 500 guests.,酒店可容纳500位客人。,action,,,,🏨,3,3
CET4,accumulate,/əˈkjuː.mjə.leɪt/,/əˈkjuː.mjə.leɪt/,"to collect a large amount gradually",积累；积聚,He accumulated a large fortune.,他积累了巨额财富。,action,,,,💰,3,3
CET4,approximate,/əˈprɒk.sɪ.mət/,/əˈprɑːk.sə.mət/,"close but not exact",大约的；近似的,The approximate cost is 100 dollars.,大约花费100美元。,general,,,,≈,3,3
CET4,assess,/əˈses/,/əˈses/,"to make a judgment about something",评估；评价,We need to assess the damage.,我们需要评估损失。,action,,,,📋,3,3
CET4,capacity,/kəˈpæs.ə.ti/,/kəˈpæs.ə.t̬i/,"the ability to hold or do something",容量；能力,The stadium has a capacity of 50000.,体育场可容纳5万人。,general,,,,📦,3,3
CET4,circumstance,/ˈsɜː.kəm.stæns/,/ˈsɝː.kəm.stæns/,"a condition that affects a situation",情况；环境,Under normal circumstances this works.,在正常情况下这是可行的。,general,,,,🔄,3,3
CET4,consequence,/ˈkɒn.sɪ.kwəns/,/ˈkɑːn.sə.kwens/,"a result of an action",结果；后果,Face the consequences of your actions.,为自己的行为承担后果。,general,,,,➡️,3,3
CET4,contribute,/kənˈtrɪb.juːt/,/kənˈtrɪb.juːt/,"to give something to help achieve a goal",贡献；捐助,Everyone can contribute something.,每个人都可以做出贡献。,action,,,,🤲,3,3
CET4,derive,/dɪˈraɪv/,/dɪˈraɪv/,"to get something from a source",得到；起源于,The word derives from Latin.,这个词源自拉丁语。,language,,,,📚,3,3
CET4,elaborate,/ɪˈlæb.ər.ət/,/ɪˈlæb.ɚ.ət/,"complex and detailed",详尽的；精心制作的,He gave an elaborate explanation.,他给出了详尽的解释。,communication,,,,🔍,3,3
